customer_id,customer_name,email,registration_date,customer_type
C0001,Vihaan Kapoor,vihaan.kapoor1@example.com,2026-04-30,PREMIUM
C0002,Aanya Tyagi,aanya.tyagi2@example.com,2025-07-19,REGULAR
C0003,Kabir Malhotra,kabir.malhotra3@example.com,2026-01-03,REGULAR
C0004,Diya Tyagi,diya.tyagi4@example.com,2025-11-04,REGULAR
C0005,Aanya Tyagi,aanya.tyagi5@example.com,2024-11-14,PREMIUM
C0006,Kabir Singh,kabir.singh6@example.com,2024-11-02,REGULAR
C0007,Aditya Tyagi,aditya.tyagi7@example.com,2026-05-30,REGULAR
C0008,Ishaan Kapoor,ishaan.kapoor8@example.com,2025-08-23,REGULAR
C0009,Aarav Mehta,aarav.mehta9@example.com,2025-11-17,REGULAR
C0010,Kabir Verma,kabir.verma10@example.com,2025-01-01,REGULAR
C0011,Ishaan Malhotra,ishaan.malhotra11@example.com,2026-03-12,REGULAR
C0012,Ishaan Verma,ishaan.verma12@example.com,2024-09-14,REGULAR
C0013,Diya Verma,diya.verma13@example.com,2026-04-22,REGULAR
C0014,Rohan Tyagi,rohan.tyagi14@example.com,2024-08-31,REGULAR
C0015,Ishaan Verma,ishaan.verma15@example.com,2026-03-14,VIP
C0016,Arjun Bansal,arjun.bansal16@example.com,2026-02-03,REGULAR
C0017,Ishaan Gupta,ishaan.gupta17@example.com,2025-01-08,REGULAR
C0018,Kabir Malhotra,kabir.malhotra18@example.com,2025-01-15,REGULAR
C0019,Ishaan Mehta,ishaan.mehta19@example.com,2025-10-24,REGULAR
C0020,Kavya Verma,kavya.verma20@example.com,2025-08-23,REGULAR
C0021,Arjun Malhotra,arjun.malhotra21@example.com,2026-04-19,REGULAR
C0022,Anaya Verma,anaya.verma22@example.com,2025-01-04,REGULAR
C0023,Ishaan Kapoor,ishaan.kapoor23@example.com,2026-05-16,REGULAR
C0024,Ira Kapoor,ira.kapoor24@example.com,2025-11-12,REGULAR
C0025,Ira Bansal,ira.bansal25@example.com,2025-01-05,REGULAR
C0026,Aanya Singh,aanya.singh26@example.com,2025-12-22,REGULAR
C0027,Ishaan Kapoor,ishaan.kapoor27@example.com,2025-06-13,PREMIUM
C0028,Meera Malhotra,meera.malhotra28@example.com,2026-03-31,PREMIUM
C0029,Rohan Tyagi,rohan.tyagi29@example.com,2025-06-02,PREMIUM
C0030,Ishaan Kapoor,ishaan.kapoor30@example.com,2024-12-13,VIP
C0031,Arjun Bansal,arjun.bansal31@example.com,2026-02-28,REGULAR
C0032,Kavya Joshi,kavya.joshi32@example.com,2024-09-15,VIP
C0033,Anaya Singh,anaya.singh33@example.com,2025-11-10,PREMIUM
C0034,Ira Verma,ira.verma34@example.com,2025-10-11,PREMIUM
C0035,Aditya Mehta,aditya.mehta35@example.com,2025-04-23,REGULAR
C0036,Aditya Tyagi,aditya.tyagi36@example.com,2025-09-09,REGULAR
C0037,Aanya Malhotra,aanya.malhotra37@example.com,2026-04-07,REGULAR
C0038,Diya Tyagi,diya.tyagi38@example.com,2026-02-26,REGULAR
C0039,Rohan Joshi,rohan.joshi39@example.com,2026-04-19,REGULAR
C0040,Vihaan Verma,vihaan.verma40@example.com,2025-04-30,PREMIUM
C0041,Rohan Gupta,rohan.gupta41@example.com,2026-06-12,REGULAR
C0042,Aanya Tyagi,aanya.tyagi42@example.com,2025-07-24,VIP
C0043,Ishaan Verma,ishaan.verma43example.com,2024-08-29,REGULAR
C0044,Arjun Joshi,arjun.joshi44@example.com,2026-02-01,REGULAR
C0045,Priya Bansal,priya.bansal45@example.com,2025-04-02,REGULAR
C0046,Ishaan Malhotra,ishaan.malhotra46@example.com,2026-07-15,REGULAR
C0047,Diya Gupta,diya.gupta47@example.com,2025-08-07,VIP
C0048,Anaya Verma,anaya.verma48@example.com,2025-06-17,REGULAR
C0049,Vihaan Verma,vihaan.verma49@example.com,2025-01-11,REGULAR
C0050,Rohan Malhotra,rohan.malhotra50@,2025-03-18,REGULAR
C0051,Rohan Malhotra,rohan.malhotra51@example.com,2024-11-26,REGULAR
C0052,Priya Malhotra,priya.malhotra52@example.com,2025-07-11,REGULAR
C0053,Aarav Verma,aarav.verma53@example.com,2024-09-11,PREMIUM
C0054,Meera Verma,meera.verma54@example.com,2026-07-13,PREMIUM
C0055,Sara Singh,sara.singh55@example.com,2026-01-29,REGULAR
C0056,Aditya Kapoor,aditya.kapoor56@example.com,2026-03-15,REGULAR
C0057,Anaya Singh,anaya.singh57@example.com,2025-10-07,REGULAR
C0058,Aditya Tyagi,aditya.tyagi58@example.com,2025-09-28,REGULAR
